"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1032","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","2.868043","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","7.094699","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","3.397748","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","23","2","1","50.702000","0","155"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","1.928709","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","1.463474","0","3"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.431399","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","0.858492","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","26","4","1","38.017006","0","161"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","4.085817","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","2","1","4.271377","0","36"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","42","3","1","57.087860","0","886"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","21","1","1","29.188118","0","249"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.051696","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.035210","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","1","1","2.294788","0","26"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.048208","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","14.094061","0","194"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","105","1","1","53.073105","0","4612"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","84","1","1","110.842842","0","2500"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","84","1","1","0.000000","0","2501"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","42","1","1","53.869678","0","649"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","1.982300","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","1.788762","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","4","1","1","1.327980","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","0.870855","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","9","6","11.976595","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","6","1","1","2.055804","0","22"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","294","2","1","395.973022","0","10438"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","84","1","1","110.541245","0","934"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","864","4","1","1037.813232","0","67503"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","27","1","1","31.205818","0","195"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","4","1","1","1.222351","0","10"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","4","2","1","1.242809","0","11"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","6","6","1","1.955874","0","10"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","1","1","2.277181","0","13"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","14","1","1","7.725845","0","107"
"/Game/Movies/MediaPlayer_Video_Mat.MediaPlayer_Video_Mat","21","9","1","1","2.613022","0","53"
"/Interchange/gltf/M_Unlit.M_Unlit","21","26","9","6","11.709959","0","102"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","126","11","6","144.207764","0","1152"
"/Interchange/gltf/M_Transmission.M_Transmission","21","32","2","2","40.095379","0","228"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","54","1","1","67.547745","0","1126"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","138","2","1","185.113617","0","5599"
"/Interchange/gltf/M_Sheen.M_Sheen","21","126","8","6","170.845383","0","1069"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","126","7","6","175.022705","0","1038"
"/Interchange/gltf/M_Default.M_Default","21","126","6","6","143.232605","0","860"
"Globals","24","1030","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","1.656979","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","9","6","20.465267","0","100"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","1","1","3.014338","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","1.875789","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","1.814757","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","23","1","1","35.838360","0","154"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","1","1","3.070828","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.815328","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.673256","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","24","26","2","1","38.089901","0","197"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.762527","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","6","1","1","3.801162","0","23"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","24","4","1","1","1.389717","0","11"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","1","1","2.591654","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","2.491127","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","24","8","3","1","6.226932","0","34"
"/Interchange/gltf/M_Default.M_Default","24","126","28","6","188.839386","0","883"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","42","4","1","67.871071","0","496"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","24","126","16","6","220.689575","0","817"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.754105","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","21","2","1","33.212013","0","71"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","1.739388","0","2"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.812890","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","6","6","1","3.718836","0","10"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","7","2","21.251776","0","73"
"/Interchange/gltf/M_Sheen.M_Sheen","24","126","14","6","217.617279","0","634"
"/Interchange/gltf/M_Transmission.M_Transmission","24","32","8","2","51.775723","0","128"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","24","4","4","1","3.967409","0","7"
"/Interchange/gltf/M_Unlit.M_Unlit","24","26","18","6","20.945053","0","55"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","24","126","20","6","191.271088","0","930"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","105","7","1","94.400337","0","1040"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","27","3","1","40.778103","0","113"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","14","7","1","13.659144","0","74"
"/Game/Movies/MediaPlayer_Video_Mat.MediaPlayer_Video_Mat","24","9","1","1","5.036963","0","42"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","54","1","1","87.677536","0","516"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","138","3","1","242.583878","0","2232"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","84","9","1","138.641861","0","624"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","84","14","1","0.000000","0","610"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","42","6","1","67.485901","0","151"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","4","1","3.329348","0","6"
